56,60,65
56,60,65
57,60,66
57,61,66
57,61,66
58,61,67
58,62,67
58,62,67
59,62,67
59,63,68
59,63,68
59,63,68
60,63,69
60,64,69
60,64,70
61,64,70
61,64,70
61,65,71
61,65,71
62,65,71
62,65,72
62,66,72
62,66,72
62,66,72
63,66,73
63,66,73
63,67,73
63,67,74
64,67,74
64,67,74
64,67,74
64,68,75
64,68,75
64,68,75
65,68,75
65,68,75
65,69,76
65,69,76
65,69,76
65,69,76
66,69,76
66,70,77
66,70,77
66,70,77
66,70,77
66,70,77
66,70,77
66,71,77
66,71,78
66,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,72,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
67,71,78
66,71,78
66,71,77
66,71,77
66,70,77
66,70,77
66,70,77
66,70,77
66,70,77
66,70,76
65,69,76
65,69,76
65,69,76
65,69,76
65,69,76
65,68,75
65,68,75
64,68,75
64,68,75
64,68,74
64,67,74
64,67,74
63,67,74
63,67,73
63,67,73
63,66,73
63,66,73
62,66,72
62,66,72
62,65,72
62,65,71
61,65,71
61,65,71
61,65,70
61,64,70
60,64,70
60,64,69
60,63,69
60,63,69
59,63,68
59,63,68
59,62,68
58,62,67
58,62,67
58,62,67
57,61,66
57,61,66
57,61,66
56,60,66
56,60,65
60,64,71
61,64,72
61,65,72
61,65,72
62,65,73
62,66,73
62,66,74
62,66,74
63,67,74
63,67,75
63,67,75
64,67,75
64,68,76
64,68,76
64,68,76
65,69,77
65,69,77
65,69,77
65,70,78
66,70,78
66,70,78
66,71,79
66,71,79
67,71,79
67,72,79
67,72,80
67,72,80
67,72,80
68,73,80
68,73,81
68,73,81
68,73,81
69,74,81
69,74,81
69,74,82
69,74,82
70,74,82
70,75,82
70,75,82
70,75,83
70,75,83
71,75,83
71,75,83
71,76,83
71,76,83
71,76,83
71,76,84
71,76,84
72,76,84
72,76,84
72,77,84
72,77,84
72,77,84
72,77,84
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,85
72,77,84
72,77,84
72,77,84
72,77,84
72,77,84
72,76,84
71,76,84
71,76,84
71,76,84
71,76,83
71,76,83
71,76,83
71,76,83
70,75,83
